CountryCode,parameterICStatusOfDeterminandBiologyEQR,parameterBoundaryValueClasses12,parameterBoundaryValueClasses23,parameterBoundaryValueClasses34,parameterBoundaryValueClasses45,monitoringSiteIdentifier,parameterWaterBodyCategory,parameterNCSWaterBodyType,resultEcologicalStatusClassValue,result_convert_EQR,UID
AT,0.0,0.8170967741935486,0.6009677419354842,0.4187096774193546,0.2377419354838709,ATFW10000177,RW,280.0,2,1,23000
AT,0.0,0.8170967741935486,0.6009677419354842,0.4187096774193546,0.2377419354838709,ATFW21500306,RW,120.0,2,1,23001
AT,0.0,0.8170967741935486,0.6009677419354842,0.4187096774193546,0.2377419354838709,ATFW21531167,RW,916.0,3,0,23002
AT,0.0,0.8170967741935486,0.6009677419354842,0.4187096774193546,0.2377419354838709,ATFW21551267,RW,389.0,2,1,23003
AT,0.0,0.8170967741935486,0.6009677419354842,0.4187096774193546,0.2377419354838709,ATFW21560297,RW,389.0,1,1,23004
AT,0.0,0.8170967741935486,0.6009677419354842,0.4187096774193546,0.2377419354838709,ATFW30900037,RW,131.0,2,1,23005
AT,0.0,0.8170967741935486,0.6009677419354842,0.4187096774193546,0.2377419354838709,ATFW31000187,RW,184.0,2,1,23006
AT,0.0,0.8170967741935486,0.6009677419354842,0.4187096774193546,0.2377419354838709,ATFW31000187,RW,181.0,1,1,23007
AT,0.0,0.8170967741935486,0.6009677419354842,0.4187096774193546,0.2377419354838709,ATFW31100077,RW,589.0,2,1,23008
AT,0.0,0.8170967741935486,0.6009677419354842,0.4187096774193546,0.2377419354838709,ATFW40710047,RW,131.0,2,1,23009
AT,0.0,0.8170967741935486,0.6009677419354842,0.4187096774193546,0.2377419354838709,ATFW40710047,RW,129.0,2,1,23010
AT,0.0,0.8170967741935486,0.6009677419354842,0.4187096774193546,0.2377419354838709,ATFW40916017,RW,307.0,2,1,23011
AT,0.0,0.8170967741935486,0.6009677419354842,0.4187096774193546,0.2377419354838709,ATFW40916017,RW,305.0,3,0,23012
AT,0.0,0.8170967741935486,0.6009677419354842,0.4187096774193546,0.2377419354838709,ATFW51110127,RW,965.0,2,1,23013
AT,0.0,0.8170967741935486,0.6009677419354842,0.4187096774193546,0.2377419354838709,ATFW55010057,RW,967.0,2,1,23014
AT,0.0,0.8170967741935486,0.6009677419354842,0.4187096774193546,0.2377419354838709,ATFW55010057,RW,962.0,2,1,23015
