CountryCode,monitoringSiteIdentifier,parameterWaterBodyCategory,naturalAWBHMWB_AWB,naturalAWBHMWB_HMWB,naturalAWBHMWB_Natural,reservoir_Missing,reservoir_Not a reservoir,reservoir_Reservoir in former chain of rivers and lakes,reservoir_Reservoir in former lake,reservoir_Reservoir in former river,reservoir_Unpopulated,parameterICStatusOfDeterminandBiologyEQR,parameterBoundaryValueClasses12,parameterBoundaryValueClasses23,parameterBoundaryValueClasses34,parameterBoundaryValueClasses45,parameterNCSWaterBodyType,resultEcologicalStatusClassValue,result_convert_EQR,UID
AT,ATFW10000027,RW,0,0,1,0,1,0,0,0,0,0.0,0.8170967741935486,0.6009677419354842,0.4187096774193546,0.2377419354838709,282.0,3,0,23048
AT,ATFW10000027,RW,0,0,1,0,1,0,0,0,0,0.0,0.8170967741935486,0.6009677419354842,0.4187096774193546,0.2377419354838709,284.0,2,1,23120
AT,ATFW10000027,RW,0,0,1,0,1,0,0,0,0,0.0,0.8170967741935486,0.6009677419354842,0.4187096774193546,0.2377419354838709,280.0,4,0,23144
AT,ATFW10000027,RW,0,0,1,0,1,0,0,0,0,0.0,0.8170967741935486,0.6009677419354842,0.4187096774193546,0.2377419354838709,596.0,2,1,34551
AT,ATFW10000077,RW,0,0,1,0,1,0,0,0,0,0.0,0.8170967741935486,0.6009677419354842,0.4187096774193546,0.2377419354838709,284.0,2,1,23024
AT,ATFW10000077,RW,0,0,1,0,1,0,0,0,0,0.0,0.8170967741935486,0.6009677419354842,0.4187096774193546,0.2377419354838709,283.0,2,1,23072
AT,ATFW10000077,RW,0,0,1,0,1,0,0,0,0,0.0,0.8170967741935486,0.6009677419354842,0.4187096774193546,0.2377419354838709,281.0,2,1,23096
AT,ATFW10000077,RW,0,0,1,0,1,0,0,0,0,0.0,0.8170967741935486,0.6009677419354842,0.4187096774193546,0.2377419354838709,596.0,2,1,34552
AT,ATFW10000087,RW,0,0,1,0,1,0,0,0,0,0.0,0.8170967741935486,0.6009677419354842,0.4187096774193546,0.2377419354838709,282.0,3,0,23025
AT,ATFW10000087,RW,0,0,1,0,1,0,0,0,0,0.0,0.8170967741935486,0.6009677419354842,0.4187096774193546,0.2377419354838709,284.0,2,1,23073
AT,ATFW10000087,RW,0,0,1,0,1,0,0,0,0,0.0,0.8170967741935486,0.6009677419354842,0.4187096774193546,0.2377419354838709,280.0,3,0,23324
AT,ATFW10000087,RW,0,0,1,0,1,0,0,0,0,0.0,0.8170967741935486,0.6009677419354842,0.4187096774193546,0.2377419354838709,596.0,2,1,34553
AT,ATFW10000177,RW,0,0,1,0,1,0,0,0,0,0.0,0.8170967741935486,0.6009677419354842,0.4187096774193546,0.2377419354838709,280.0,2,1,23000
AT,ATFW10000177,RW,0,0,1,0,1,0,0,0,0,0.0,0.8170967741935486,0.6009677419354842,0.4187096774193546,0.2377419354838709,284.0,2,1,23049
AT,ATFW10000177,RW,0,0,1,0,1,0,0,0,0,0.0,0.8170967741935486,0.6009677419354842,0.4187096774193546,0.2377419354838709,282.0,3,0,23121
AT,ATFW10000177,RW,0,0,1,0,1,0,0,0,0,0.0,0.8170967741935486,0.6009677419354842,0.4187096774193546,0.2377419354838709,596.0,3,0,34554
AT,ATFW21500097,RW,0,1,0,0,1,0,0,0,0,0.0,0.8170967741935486,0.6009677419354842,0.4187096774193546,0.2377419354838709,122.0,2,1,23026
AT,ATFW21500097,RW,0,1,0,0,1,0,0,0,0,0.0,0.8170967741935486,0.6009677419354842,0.4187096774193546,0.2377419354838709,121.0,2,1,23074
AT,ATFW21500097,RW,0,1,0,0,1,0,0,0,0,0.0,0.8170967741935486,0.6009677419354842,0.4187096774193546,0.2377419354838709,117.0,3,0,23097
AT,ATFW21500306,RW,0,0,1,0,1,0,0,0,0,0.0,0.8170967741935486,0.6009677419354842,0.4187096774193546,0.2377419354838709,120.0,2,1,23001
AT,ATFW21500306,RW,0,0,1,0,1,0,0,0,0,0.0,0.8170967741935486,0.6009677419354842,0.4187096774193546,0.2377419354838709,124.0,1,1,23122
AT,ATFW21500306,RW,0,0,1,0,1,0,0,0,0,0.0,0.8170967741935486,0.6009677419354842,0.4187096774193546,0.2377419354838709,117.0,2,1,23123
AT,ATFW21500306,RW,0,0,1,0,1,0,0,0,0,0.0,0.8170967741935486,0.6009677419354842,0.4187096774193546,0.2377419354838709,600.0,1,1,34555
AT,ATFW21531167,RW,0,0,1,0,1,0,0,0,0,0.0,0.8170967741935486,0.6009677419354842,0.4187096774193546,0.2377419354838709,916.0,3,0,23002
AT,ATFW21531167,RW,0,0,1,0,1,0,0,0,0,0.0,0.8170967741935486,0.6009677419354842,0.4187096774193546,0.2377419354838709,914.0,2,1,23075
